FECHA;HITO;COTA;
02/03/2026;H2.02;69.658;
02/03/2026;H2.03;70.0141;
02/03/2026;H2.04;73.9306;
02/03/2026;H2.05;73.9559;
19/02/2026;H23.01;50.3829;
19/02/2026;H23.02;48.8715;
19/02/2026;H23.03;48.2150;
19/02/2026;H23.04;46.9504;
19/02/2026;H23.05;44.8812;
19/02/2026;H24.01;54.4072;
19/02/2026;H24.02;51.3821;
19/02/2026;H24.03;50.1104;
19/02/2026;H24.04;47.9721;
19/02/2026;H24.05;44.9980;
25/02/2026;H23.01;50.3828;
25/02/2026;H23.02;48.8714;
25/02/2026;H23.03;48.2150;
25/02/2026;H23.04;46.9502;
25/02/2026;H23.05;44.8812;
25/02/2026;H24.03;50.1104;
25/02/2026;H24.04;47.9722;
25/02/2026;H24.05;44.9980;
02/03/2026;H23.01;50.3829;
02/03/2026;H23.02;48.8715;
02/03/2026;H23.03;48.2149;
02/03/2026;H23.04;46.9505;
02/03/2026;H23.05;44.8812;
02/03/2026;H24.01;54.4075;
02/03/2026;H24.02;51.3822;
02/03/2026;H24.03;50.1105;
02/03/2026;H24.04;47.9721;
02/03/2026;H24.05;44.9981;
04/03/2026;H24.01;54.4069;
04/03/2026;H24.02;51.382;
04/03/2026;H24.03;50.1104;
04/03/2026;H24.04;47.9721;
04/03/2026;H24.05;44.9979;
06/03/2026;H2.01;69.6761;
06/03/2026;H2.02;69.6577;
06/03/2026;H2.03;70.0138;
06/03/2026;H2.04;73.931;
06/03/2026;H2.05;73.9561;
;;;
